word	hyphenated	song	occurrence	syllables	context
apace	a·pace	*	*	2
apostle	a·pos·tle	*	*	3
arise	a·rise	*	*	2
arose	a·rose	*	*	2
around	a·round	*	*	2
ashamed	a·shamed	*	*	2
aside	a·side	*	*	2
asleep	a·sleep	*	*	2
astray	a·stray	*	*	2
asunder	a·sun·der	*	*	3
atone	a·tone	*	*	2
atoning	a·ton·ing	*	*	3
availed	a·vailed	*	*	2
averse	a·verse	*	*	2
awake	a·wake	*	*	2
awakes	a·wakes	*	*	2
awaken	a·wak·en	*	*	3
away	a·way	*	*	2
awhile	a·while	*	*	2
babe	babe	*	*	1
back	back	*	*	1
backward	back·ward	*	*	2
bad	bad	*	*	1
bade	bade	*	*	1
balm	balm	*	*	1
balmy	balm·y	*	*	2
band	band	*	*	1
bands	bands	*	*	1
bane	bane	*	*	1
bank	bank	*	*	1
banks	banks	*	*	1
banish	ban·ish	*	*	2
banished	ban·ished	*	*	2
banishes	ban·ish·es	*	*	3
banishment	ban·ish·ment	*	*	3
banner	ban·ner	*	*	2
bar	bar	*	*	1
bars	bars	*	*	1
barren	bar·ren	*	*	2
base	base	*	*	1
basely	base·ly	*	*	2
bathe	bathe	*	*	1
bathed	bathed	*	*	1
battle	bat·tle	*	*	2
be	be	*	*	1
beam	beam	*	*	1
beamed	beamed	*	*	1
beams	beams	*	*	1
beaming	beam·ing	*	*	2
bear	bear	*	*	1
bears	bears	*	*	1
beating	beat·ing	*	*	2
beauteous	beau·te·ous	*	*	3
beauties	beau·ties	*	*	2
beauty	beau·ty	*	*	2
beckon	beck·on	*	*	2
bed	bed	*	*	1
beds	beds	*	*	1
been	been	*	*	1
begging	beg·ging	*	*	2
bell	bell	*	*	1
bend	bend	*	*	1
bent	bent	*	*	1
berth	berth	*	*	1
best	best	*	*	1
better	bet·ter	*	*	2
because	be·cause	*	*	2
become	be·come	*	*	2
befall	be·fall	*	*	2
before	be·fore	*	*	2
began	be·gan	*	*	2
begin	be·gin	*	*	2
begins	be·gins	*	*	2
beginning	be·gin·ning	*	*	3
begirt	be·girt	*	*	2
beguile	be·guile	*	*	2
begun	be·gun	*	*	2
behavior	be·hav·ior	*	*	3
beheld	be·held	*	*	2
behind	be·hind	*	*	2
behold	be·hold	*	*	2
beholding	be·hold·ing	*	*	3
being	be·ing	*	*	2
believe	be·lieve	*	*	2
believed	be·lieved	*	*	2
believing	be·liev·ing	*	*	3
belong	be·long	*	*	2
beloved	be·lov·ed	*	*	3
below	be·low	*	*	2
beneath	be·neath	*	*	2
benighted	be·night·ed	*	*	3
beset	be·set	*	*	2
beside	be·side	*	*	2
besides	be·sides	*	*	2
bestow	be·stow	*	*	2
bestowed	be·stowed	*	*	2
bestows	be·stows	*	*	2
between	be·tween	*	*	2
beyond	be·yond	*	*	2
bid	bid	*	*	1
bids	bids	*	*	1
bidden	bid·den	*	*	2
bier	bier	*	*	1
billows	bil·lows	*	*	2
bind	bind	*	*	1
binds	binds	*	*	1
birds	birds	*	*	1
birth	birth	*	*	1
bitter	bit·ter	*	*	2
blackest	black·est	*	*	2
blame	blame	*	*	1
blast	blast	*	*	1
blasts	blasts	*	*	1
blasted	blast·ed	*	*	2
bled	bled	*	*	1
bleed	bleed	*	*	1
bleeding	bleed·ing	*	*	2
blend	blend	*	*	1
bless	bless	*	*	1
blessedness	bless·ed·ness	*	*	3
blessing	bless·ing	*	*	2
blest	blest	*	*	1
blind	blind	*	*	1
blindly	blind·ly	*	*	2
blindness	blind·ness	*	*	2
bliss	bliss	*	*	1
blissful	bliss·ful	*	*	2
blood	blood	*	*	1
bloody	blood·y	*	*	2
bloom	bloom	*	*	1
blooms	blooms	*	*	1
blooming	bloom·ing	*	*	2
blossoms	blos·soms	*	*	2
blow	blow	*	*	1
blows	blows	*	*	1
blowing	blow·ing	*	*	2
blue	blue	*	*	1
blush	blush	*	*	1
blushes	blush·es	*	*	2
blushing	blush·ing	*	*	2
board	board	*	*	1
boast	boast	*	*	1
boasting	boast·ing	*	*	2
boat	boat	*	*	1
bodies	bod·ies	*	*	2
body	bod·y	*	*	2
bold	bold	*	*	1
boldest	bold·est	*	*	2
boldly	bold·ly	*	*	2
bond	bond	*	*	1
bonds	bonds	*	*	1
bondage	bond·age	*	*	2
book	book	*	*	1
books	books	*	*	1
boon	boon	*	*	1
bore	bore	*	*	1
born	born	*	*	1
borne	borne	*	*	1
borders	bor·ders	*	*	2
bosom	bos·om	*	*	2
both	both	*	*	1
bought	bought	*	*	1
bound	bound	*	*	1
bounds	bounds	*	*	1
boundless	bound·less	*	*	2
bounteous	boun·te·ous	*	*	3
bounty	boun·ty	*	*	2
bow	bow	*	*	1
bowed	bowed	*	*	1
bows	bows	*	*	1
bowers	bow·ers	*	*	2
boy	boy	*	*	1
branches	branch·es	*	*	2
brass	brass	*	*	1
bread	bread	*	*	1
breadth	breadth	*	*	1
break	break	*	*	1
breaks	breaks	*	*	1
breast	breast	*	*	1
breath	breath	*	*	1
breathe	breathe	*	*	1
breathes	breathes	*	*	1
breathing	breath·ing	*	*	2
breeze	breeze	*	*	1
breezes	breez·es	*	*	2
brethren	breth·ren	*	*	2
bride	bride	*	*	1
bridegroom	bride·groom	*	*	2
bright	bright	*	*	1
brighter	bright·er	*	*	2
brightest	bright·est	*	*	2
brightness	bright·ness	*	*	2
brilliant	bril·liant	*	*	2
bring	bring	*	*	1
brings	brings	*	*	1
bringing	bring·ing	*	*	2
brink	brink	*	*	1
briny	brin·y	*	*	2
broad	broad	*	*	1
broke	broke	*	*	1
brooks	brooks	*	*	1
brother	broth·er	*	*	2
brothers	broth·ers	*	*	2
brought	brought	*	*	1
brow	brow	*	*	1
broken	bro·ken	*	*	2
brokenhearted	bro·ken·heart·ed	*	*	4
bruise	bruise	*	*	1
bruises	bruis·es	*	*	2
build	build	*	*	1
built	built	*	*	1
burn	burn	*	*	1
burns	burns	*	*	1
burning	burn·ing	*	*	2
burst	burst	*	*	1
bursts	bursts	*	*	1
burden	bur·den	*	*	2
burdened	bur·dened	*	*	2
burdens	bur·dens	*	*	2
buried	bur·ied	*	*	2
but	but	*	*	1
by	by	*	*	1
call	call	*	*	1
called	called	*	*	1
calls	calls	*	*	1
calm	calm	*	*	1
calmed	calmed	*	*	1
calms	calms	*	*	1
came	came	*	*	1
can	can	*	*	1
canst	canst	*	*	1
canceled	can·celed	*	*	2
cannot	can·not	*	*	2
captain	cap·tain	*	*	2
captive	cap·tive	*	*	2
care	care	*	*	1
cares	cares	*	*	1
careful	care·ful	*	*	2
careless	care·less	*	*	2
carnal	car·nal	*	*	2
carried	car·ried	*	*	2
carry	car·ry	*	*	2
case	case	*	*	1
cast	cast	*	*	1
casts	casts	*	*	1
casting	cast·ing	*	*	2
cascading	cas·cad·ing	*	*	3
catch	catch	*	*	1
cause	cause	*	*	1
caused	caused	*	*	1
caves	caves	*	*	1
career	ca·reer	*	*	2
cease	cease	*	*	1
ceased	ceased	*	*	1
ceaseless	cease·less	*	*	2
ceasing	ceas·ing	*	*	2
cell	cell	*	*	1
certain	cer·tain	*	*	2
celestial	ce·les·tial	*	*	3
chain	chain	*	*	1
chained	chained	*	*	1
chairs	chairs	*	*	1
chamber	cham·ber	*	*	2
change	change	*	*	1
changed	changed	*	*	1
changes	chang·es	*	*	2
channels	chan·nels	*	*	2
characters	char·ac·ters	*	*	3
chariots	chari·ots	*	*	2
charm	charm	*	*	1
charmed	charmed	*	*	1
charms	charms	*	*	1
charming	charm·ing	*	*	2
chariot	char·i·ot	*	*	3
charity	char·i·ty	*	*	3
charnel	char·nel	*	*	2
chase	chase	*	*	1
cheek	cheek	*	*	1
cheeks	cheeks	*	*	1
cheer	cheer	*	*	1
cheered	cheered	*	*	1
cheerful	cheer·ful	*	*	2
cheerfulness	cheer·ful·ness	*	*	3
cheering	cheer·ing	*	*	2
cherish	cher·ish	*	*	2
cherubic	che·ru·bic	*	*	3
chide	chide	*	*	1
chief	chief	*	*	1
child	child	*	*	1
chill	chill	*	*	1
chilling	chill·ing	*	*	2
children	chil·dren	*	*	2
choice	choice	*	*	1
choicest	choic·est	*	*	2
choir	choir	*	*	1
choose	choose	*	*	1
chord	chord	*	*	1
chorus	cho·rus	*	*	2
chosen	cho·sen	*	*	2
church	church	*	*	1
churches	church·es	*	*	2
circling	cir·cling	*	*	2
circumstance	cir·cum·stance	*	*	3
cities	cit·ies	*	*	2
city	cit·y	*	*	2
claims	claims	*	*	1
claps	claps	*	*	1
clasp	clasp	*	*	1
clay	clay	*	*	1
clean	clean	*	*	1
cleanse	cleanse	*	*	1
cleansed	cleansed	*	*	1
clear	clear	*	*	1
cleave	cleave	*	*	1
cliff	cliff	*	*	1
climb	climb	*	*	1
climbed	climbed	*	*	1
climbing	climb·ing	*	*	2
close	close	*	*	1
closed	closed	*	*	1
closing	clos·ing	*	*	2
clothe	clothe	*	*	1
clothed	clothed	*	*	1
cloud	cloud	*	*	1
clouds	clouds	*	*	1
cloys	cloys	*	*	1
coffin	cof·fin	*	*	2
cold	cold	*	*	1
come	come	*	*	1
comes	comes	*	*	1
combine	com·bine	*	*	2
comfort	com·fort	*	*	2
comforts	com·forts	*	*	2
comforted	com·fort·ed	*	*	3
coming	com·ing	*	*	2
command	com·mand	*	*	2
commands	com·mands	*	*	2
commanded	com·mand·ed	*	*	3
commandment	com·mand·ment	*	*	3
committed	com·mit·ted	*	*	3
common	com·mon	*	*	2
communion	com·mun·ion	*	*	3
companion	com·pan·ion	*	*	3
companions	com·pan·ions	*	*	3
compared	com·pared	*	*	2
compassion	com·pas·sion	*	*	3
company	com·pa·ny	*	*	3
compel	com·pel	*	*	2
complain	com·plain	*	*	2
complains	com·plains	*	*	2
complaint	com·plaint	*	*	2
complainer	com·plain·er	*	*	3
complete	com·plete	*	*	2
comply	com·ply	*	*	2
compose	com·pose	*	*	2
conceal	con·ceal	*	*	2
concealed	con·cealed	*	*	2
concern	con·cern	*	*	2
concert	con·cert	*	*	2
conclude	con·clude	*	*	2
condemned	con·demned	*	*	2
condescend	con·de·scend	*	*	3
condition	con·di·tion	*	*	3
condole	con·dole	*	*	2
conferred	con·ferred	*	*	2
confess	con·fess	*	*	2
confessed	con·fessed	*	*	2
confined	con·fined	*	*	2
conflict	con·flict	*	*	2
conflicts	con·flicts	*	*	2
conflicting	con·flict·ing	*	*	3
confound	con·found	*	*	2
confusion	con·fu·sion	*	*	3
congregation	con·gre·ga·tion	*	*	4
connection	con·nec·tion	*	*	3
conquer	con·quer	*	*	2
conquered	con·quered	*	*	2
conquers	con·quers	*	*	2
conquest	con·quest	*	*	2
conscience	con·science	*	*	2
conscious	con·scious	*	*	2
consecrated	con·se·crat·ed	*	*	4
consolation	con·so·la·tion	*	*	4
conspire	con·spire	*	*	2
constant	con·stant	*	*	2
constantly	con·stant·ly	*	*	3
constrain	con·strain	*	*	2
constrained	con·strained	*	*	2
contagion	con·ta·gion	*	*	3
contempt	con·tempt	*	*	2
contend	con·tend	*	*	2
content	con·tent	*	*	2
contented	con·tent·ed	*	*	3
contentment	con·tent·ment	*	*	3
contrite	con·trite	*	*	2
contrived	con·trived	*	*	2
control	con·trol	*	*	2
converted	con·vert·ed	*	*	3
converting	con·vert·ing	*	*	3
conversation	con·ver·sa·tion	*	*	4
convey	con·vey	*	*	2
conveys	con·veys	*	*	2
convinced	con·vinced	*	*	2
cooling	cool·ing	*	*	2
copy	cop·y	*	*	2
cord	cord	*	*	1
cords	cords	*	*	1
corn	corn	*	*	1
cordial	cor·dial	*	*	2
cornerstone	cor·ner·stone	*	*	3
cost	cost	*	*	1
costly	cost·ly	*	*	2
cottage	cot·tage	*	*	2
could	could	*	*	1
count	count	*	*	1
counsel	coun·sel	*	*	2
counsels	coun·sels	*	*	2
country	coun·try	*	*	2
course	course	*	*	1
court	court	*	*	1
courts	courts	*	*	1
courage	cour·age	*	*	2
cover	cov·er	*	*	2
covered	cov·ered	*	*	2
covert	cov·ert	*	*	2
covet	cov·et	*	*	2
crave	crave	*	*	1
cradle	cra·dle	*	*	2
creature	crea·ture	*	*	2
creeping	creep·ing	*	*	2
crew	crew	*	*	1
create	cre·ate	*	*	2
created	cre·at·ed	*	*	3
creation	cre·a·tion	*	*	3
creator	cre·a·tor	*	*	3
cried	cried	*	*	1
cries	cries	*	*	1
crook	crook	*	*	1
cross	cross	*	*	1
crossed	crossed	*	*	1
crosses	cross·es	*	*	2
crossing	cross·ing	*	*	2
crowd	crowd	*	*	1
crown	crown	*	*	1
crowned	crowned	*	*	1
crowns	crowns	*	*	1
crush	crush	*	*	1
crucified	cru·ci·fied	*	*	3
crucify	cru·ci·fy	*	*	3
crucifying	cru·ci·fy·ing	*	*	4
cry	cry	*	*	1
crystal	crys·tal	*	*	2
crying	cry·ing	*	*	2
cup	cup	*	*	1
cure	cure	*	*	1
curse	curse	*	*	1
cut	cut	*	*	1
daily	dai·ly	*	*	2
dance	dance	*	*	1
danger	dan·ger	*	*	2
dare	dare	*	*	1
dares	dares	*	*	1
dark	dark	*	*	1
darkened	dark·ened	*	*	2
darkest	dark·est	*	*	2
darkness	dark·ness	*	*	2
darts	darts	*	*	1
date	date	*	*	1
daughter	daugh·ter	*	*	2
dawn	dawn	*	*	1
dawns	dawns	*	*	1
dawning	dawn·ing	*	*	2
day	day	*	*	1
days	days	*	*	1
dead	dead	*	*	1
dear	dear	*	*	1
dearer	dear·er	*	*	2
dearest	dear·est	*	*	2
dearly	dear·ly	*	*	2
death	death	*	*	1
debt	debt	*	*	1
debtor	debt·or	*	*	2
deed	deed	*	*	1
deeds	deeds	*	*	1
deem	deem	*	*	1
deep	deep	*	*	1
deeper	deep·er	*	*	2
deepest	deep·est	*	*	2
deign	deign	*	*	1
deigns	deigns	*	*	1
deluge	del·uge	*	*	2
desolation	des·o·la·tion	*	*	4
decay	de·cay	*	*	2
decayed	de·cayed	*	*	2
deceitful	de·ceit·ful	*	*	3
deceive	de·ceive	*	*	2
decent	de·cent	*	*	2
decisive	de·ci·sive	*	*	3
declare	de·clare	*	*	2
declares	de·clares	*	*	2
declining	de·clin·ing	*	*	3
decreed	de·creed	*	*	2
defend	de·fend	*	*	2
defense	de·fense	*	*	2
defenseless	de·fense·less	*	*	3
defiled	de·filed	*	*	2
defy	de·fy	*	*	2
degree	de·gree	*	*	2
dejected	de·ject·ed	*	*	3
delay	de·lay	*	*	2
delight	de·light	*	*	2
delights	de·lights	*	*	2
delighted	de·light·ed	*	*	3
delightful	de·light·ful	*	*	3
delivered	de·liv·ered	*	*	3
deliverance	de·liv·er·ance	*	*	4
delicious	de·li·cious	*	*	3
delusive	de·lu·sive	*	*	3
demand	de·mand	*	*	2
demands	de·mands	*	*	2
deny	de·ny	*	*	2
depart	de·part	*	*	2
departed	de·part·ed	*	*	3
departing	de·part·ing	*	*	3
depend	de·pend	*	*	2
deplore	de·plore	*	*	2
deride	de·ride	*	*	2
descend	de·scend	*	*	2
descends	de·scends	*	*	2
descended	de·scend·ed	*	*	3
descending	de·scend·ing	*	*	3
described	de·scribed	*	*	2
descry	de·scry	*	*	2
deserves	de·serves	*	*	2
desire	de·sire	*	*	2
desired	de·sired	*	*	2
desires	de·sires	*	*	2
despair	de·spair	*	*	2
despise	de·spise	*	*	2
despised	de·spised	*	*	2
despond	de·spond	*	*	2
destroy	de·stroy	*	*	2
destruction	de·struc·tion	*	*	3
determined	de·ter·mined	*	*	3
devious	de·vi·ous	*	*	3
devote	de·vote	*	*	2
devotion	de·vo·tion	*	*	3
did	did	*	*	1
didst	didst	*	*	1
die	die	*	*	1
died	died	*	*	1
dies	dies	*	*	1
dim	dim	*	*	1
dipped	dipped	*	*	1
dirt	dirt	*	*	1
disappears	dis·ap·pears	*	*	3
disbelieve	dis·be·lieve	*	*	3
discerning	dis·cern·ing	*	*	3
discouraged	dis·cour·aged	*	*	3
disdain	dis·dain	*	*	2
disdains	dis·dains	*	*	2
disease	dis·ease	*	*	2
disembodied	dis·em·bod·ied	*	*	4
disgrace	dis·grace	*	*	2
disguise	dis·guise	*	*	2
dismal	dis·mal	*	*	2
dismay	dis·may	*	*	2
dismayed	dis·mayed	*	*	2
disorder	dis·or·der	*	*	3
disown	dis·own	*	*	2
disperses	dis·pers·es	*	*	3
display	dis·play	*	*	2
displays	dis·plays	*	*	2
dispute	dis·pute	*	*	2
disrobe	dis·robe	*	*	2
dissolve	dis·solve	*	*	2
dissolved	dis·solved	*	*	2
dissolves	dis·solves	*	*	2
distance	dis·tance	*	*	2
distant	dis·tant	*	*	2
distantly	dis·tant·ly	*	*	3
distinctly	dis·tinct·ly	*	*	3
distress	dis·tress	*	*	2
distressed	dis·tressed	*	*	2
distresses	dis·tress·es	*	*	3
disturb	dis·turb	*	*	2
disturbance	dis·tur·bance	*	*	3
diadem	di·a·dem	*	*	3
direct	di·rect	*	*	2
divide	di·vide	*	*	2
divides	di·vides	*	*	2
divided	di·vid·ed	*	*	3
divine	di·vine	*	*	2
divinely	di·vine·ly	*	*	3
diviner	di·vin·er	*	*	3
do	do	*	*	1
does	does	*	*	1
doleful	dole·ful	*	*	2
dome	dome	*	*	1
done	done	*	*	1
doom	doom	*	*	1
door	door	*	*	1
dost	dost	*	*	1
doth	doth	*	*	1
doubt	doubt	*	*	1
doubts	doubts	*	*	1
doubting	doubt·ing	*	*	2
double	dou·ble	*	*	2
dove	dove	*	*	1
down	down	*	*	1
downward	down·ward	*	*	2
downy	down·y	*	*	2
doeth	do·eth	*	*	2
domain	do·main	*	*	2
dominion	do·min·ion	*	*	3
drags	drags	*	*	1
drained	drained	*	*	1
drank	drank	*	*	1
draw	draw	*	*	1
drawn	drawn	*	*	1
draws	draws	*	*	1
drawing	draw·ing	*	*	2
dread	dread	*	*	1
dreadful	dread·ful	*	*	2
dream	dream	*	*	1
drear	drear	*	*	1
dreary	drea·ry	*	*	2
dressed	dressed	*	*	1
drew	drew	*	*	1
drink	drink	*	*	1
drinking	drink·ing	*	*	2
drive	drive	*	*	1
drives	drives	*	*	1
droop	droop	*	*	1
drooping	droop·ing	*	*	2
drop	drop	*	*	1
drops	drops	*	*	1
dross	dross	*	*	1
drove	drove	*	*	1
drown	drown	*	*	1
drowned	drowned	*	*	1
drowns	drowns	*	*	1
dry	dry	*	*	1
due	due	*	*	1
dumb	dumb	*	*	1
dungeon	dun·geon	*	*	2
dust	dust	*	*	1
duty	du·ty	*	*	2
dwell	dwell	*	*	1
dwells	dwells	*	*	1
dwelling	dwell·ing	*	*	2
dwelt	dwelt	*	*	1
dying	dy·ing	*	*	2
each	each	*	*	1
ear	ear	*	*	1
ears	ears	*	*	1
earth	earth	*	*	1
earthen	earth·en	*	*	2
earthly	earth·ly	*	*	2
early	ear·ly	*	*	2
earnest	ear·nest	*	*	2
ease	ease	*	*	1
east	east	*	*	1
eat	eat	*	*	1
eager	ea·ger	*	*	2
eagle	ea·gle	*	*	2
eagles	ea·gles	*	*	2
echo	ech·o	*	*	2
echoing	ech·o·ing	*	*	3
ecstasy	ec·sta·sy	*	*	3
effort	ef·fort	*	*	2
eight	eight	*	*	1
eighty	eight·y	*	*	2
else	else	*	*	1
empty	emp·ty	*	*	2
embark	em·bark	*	*	2
emblem	em·blem	*	*	2
embrace	em·brace	*	*	2
embraced	em·braced	*	*	2
emerald	em·er·ald	*	*	3
employ	em·ploy	*	*	2
employs	em·ploys	*	*	2
empress	em·press	*	*	2
end	end	*	*	1
ended	end·ed	*	*	2
endless	end·less	*	*	2
enchanted	en·chant·ed	*	*	3
enchantingly	en·chant·ing·ly	*	*	4
encircle	en·cir·cle	*	*	3
enclose	en·close	*	*	2
encompass	en·com·pass	*	*	3
endeavor	en·deav·or	*	*	3
endure	en·dure	*	*	2
endures	en·dures	*	*	2
energy	en·er·gy	*	*	3
enemies	en·e·mies	*	*	3
enfold	en·fold	*	*	2
engage	en·gage	*	*	2
engaged	en·gaged	*	*	2
enjoy	en·joy	*	*	2
enjoyed	en·joyed	*	*	2
enlightening	en·light·en·ing	*	*	4
enlisted	en·list·ed	*	*	3
enraptured	en·rap·tured	*	*	3
ensure	en·sure	*	*	2
enter	en·ter	*	*	2
entered	en·tered	*	*	2
entirely	en·tire·ly	*	*	3
entrance	en·trance	*	*	2
envied	en·vied	*	*	2
ere	ere	*	*	1
error	er·ror	*	*	2
escape	es·cape	*	*	2
escaped	es·caped	*	*	2
estate	es·tate	*	*	2
esteem	es·teem	*	*	2
esteemed	es·teemed	*	*	2
every	eve·ry	*	*	2
ever	ev·er	*	*	2
evergreen	ev·er·green	*	*	3
everlasting	ev·er·last·ing	*	*	4
evermore	ev·er·more	*	*	3
exalted	ex·alt·ed	*	*	3
example	ex·am·ple	*	*	3
exceeds	ex·ceeds	*	*	2
excels	ex·cels	*	*	2
excellent	ex·cel·lent	*	*	3
excelling	ex·cel·ling	*	*	3
exchange	ex·change	*	*	2
exchanged	ex·changed	*	*	2
excludes	ex·cludes	*	*	2
exercise	ex·er·cise	*	*	3
exile	ex·ile	*	*	2
expand	ex·pand	*	*	2
expect	ex·pect	*	*	2
expected	ex·pect·ed	*	*	3
experience	ex·pe·ri·ence	*	*	4
expire	ex·pire	*	*	2
expired	ex·pired	*	*	2
expires	ex·pires	*	*	2
expiring	ex·pir·ing	*	*	3
explore	ex·plore	*	*	2
express	ex·press	*	*	2
extend	ex·tend	*	*	2
extended	ex·tend·ed	*	*	3
extol	ex·tol	*	*	2
exulting	ex·ult·ing	*	*	3
eye	eye	*	*	1
eyes	eyes	*	*	1
emitting	e·mit·ting	*	*	3
emotion	e·mo·tion	*	*	3
enough	e·nough	*	*	2
equal	e·qual	*	*	2
erected	e·rect·ed	*	*	3
eternal	e·ter·nal	*	*	3
eternally	e·ter·nal·ly	*	*	4
eternity	e·ter·ni·ty	*	*	4
event	e·vent	*	*	2
evil	e·vil	*	*	2
face	face	*	*	1
faces	fac·es	*	*	2
fade	fade	*	*	1
fades	fades	*	*	1
fading	fad·ing	*	*	2
fail	fail	*	*	1
fain	fain	*	*	1
faint	faint	*	*	1
faints	faints	*	*	1
fainting	faint·ing	*	*	2
faintly	faint·ly	*	*	2
fair	fair	*	*	1
fairer	fair·er	*	*	2
fairest	fair·est	*	*	2
faith	faith	*	*	1
faithful	faith·ful	*	*	2
faithfulness	faith·ful·ness	*	*	3
fall	fall	*	*	1
falls	falls	*	*	1
fallen	fall·en	*	*	2
falling	fall·ing	*	*	2
false	false	*	*	1
fame	fame	*	*	1
famine	fam·ine	*	*	2
family	fam·i·ly	*	*	3
fan	fan	*	*	1
far	far	*	*	1
fare	fare	*	*	1
farewell	fare·well	*	*	2
fashion	fash·ion	*	*	2
fast	fast	*	*	1
fasting	fast·ing	*	*	2
fate	fate	*	*	1
